"Time","keycloak-metrics-https/keycloak:9000 name=G1 Concurrent GC"
2025-04-09 14:15:31,2
2025-04-09 14:15:32,2
2025-04-09 14:15:33,2
2025-04-09 14:15:34,2
2025-04-09 14:15:35,2
2025-04-09 14:15:36,2
2025-04-09 14:15:37,2
2025-04-09 14:15:38,2
2025-04-09 14:15:39,2
2025-04-09 14:15:40,2
2025-04-09 14:15:41,2
2025-04-09 14:15:42,2
2025-04-09 14:15:43,2
2025-04-09 14:15:44,2
2025-04-09 14:15:45,2
2025-04-09 14:15:46,2
2025-04-09 14:15:47,2
2025-04-09 14:15:48,2
2025-04-09 14:15:49,2
2025-04-09 14:15:50,2
2025-04-09 14:15:51,2
2025-04-09 14:15:52,2
2025-04-09 14:15:53,2
2025-04-09 14:15:54,2
2025-04-09 14:15:55,2
2025-04-09 14:15:56,2
2025-04-09 14:15:57,2
2025-04-09 14:15:58,2
2025-04-09 14:15:59,2
2025-04-09 14:16:00,2
2025-04-09 14:16:01,2
2025-04-09 14:16:02,2
2025-04-09 14:16:03,2
2025-04-09 14:16:04,2
2025-04-09 14:16:05,2
2025-04-09 14:16:06,2
2025-04-09 14:16:07,2
2025-04-09 14:16:08,2
2025-04-09 14:16:09,2
2025-04-09 14:16:10,2
2025-04-09 14:16:11,2
2025-04-09 14:16:12,2
2025-04-09 14:16:13,2
2025-04-09 14:16:14,2
2025-04-09 14:16:15,2
2025-04-09 14:16:16,2
2025-04-09 14:16:17,2
2025-04-09 14:16:18,2
2025-04-09 14:16:19,2
2025-04-09 14:16:20,2
2025-04-09 14:16:21,2
2025-04-09 14:16:22,2
2025-04-09 14:16:23,2
2025-04-09 14:16:24,2
2025-04-09 14:16:25,2
2025-04-09 14:16:26,2
2025-04-09 14:16:27,2
2025-04-09 14:16:28,2
2025-04-09 14:16:29,2
2025-04-09 14:16:30,2
2025-04-09 14:16:31,2
2025-04-09 14:16:32,2
2025-04-09 14:16:33,2
2025-04-09 14:16:34,2
2025-04-09 14:16:35,2
2025-04-09 14:16:36,2
2025-04-09 14:16:37,2
2025-04-09 14:16:38,2
2025-04-09 14:16:39,2
2025-04-09 14:16:40,2
2025-04-09 14:16:41,2
2025-04-09 14:16:42,2
2025-04-09 14:16:43,2
2025-04-09 14:16:44,2
2025-04-09 14:16:45,2
2025-04-09 14:16:46,2
2025-04-09 14:16:47,2
2025-04-09 14:16:48,2
2025-04-09 14:16:49,2
2025-04-09 14:16:50,2
2025-04-09 14:16:51,2
2025-04-09 14:16:52,2
2025-04-09 14:16:53,2
2025-04-09 14:16:54,2
2025-04-09 14:16:55,2
2025-04-09 14:16:56,2
2025-04-09 14:16:57,2
2025-04-09 14:16:58,2
2025-04-09 14:16:59,2
2025-04-09 14:17:00,2
2025-04-09 14:17:01,4
2025-04-09 14:17:02,4
2025-04-09 14:17:03,4
2025-04-09 14:17:04,4
2025-04-09 14:17:05,4
2025-04-09 14:17:06,4
2025-04-09 14:17:07,4
2025-04-09 14:17:08,4
2025-04-09 14:17:09,4
2025-04-09 14:17:10,4
2025-04-09 14:17:11,4
2025-04-09 14:17:12,4
2025-04-09 14:17:13,4
2025-04-09 14:17:14,4
2025-04-09 14:17:15,4
2025-04-09 14:17:16,4
2025-04-09 14:17:17,4
2025-04-09 14:17:18,4
2025-04-09 14:17:19,4
2025-04-09 14:17:20,4
2025-04-09 14:17:21,4
2025-04-09 14:17:22,4
2025-04-09 14:17:23,4
2025-04-09 14:17:24,4
2025-04-09 14:17:25,4
2025-04-09 14:17:26,4
2025-04-09 14:17:27,4
2025-04-09 14:17:28,4
2025-04-09 14:17:29,4
2025-04-09 14:17:30,4
2025-04-09 14:17:31,4
