"Time","keycloak-metrics-https/keycloak:9000 "
2025-04-09 14:27:42,201.92 MiB
2025-04-09 14:27:43,201.92 MiB
2025-04-09 14:27:44,201.92 MiB
2025-04-09 14:27:45,201.92 MiB
2025-04-09 14:27:46,201.92 MiB
2025-04-09 14:27:47,201.92 MiB
2025-04-09 14:27:48,201.92 MiB
2025-04-09 14:27:49,201.92 MiB
2025-04-09 14:27:50,201.92 MiB
2025-04-09 14:27:51,225.92 MiB
2025-04-09 14:27:52,225.92 MiB
2025-04-09 14:27:53,225.92 MiB
2025-04-09 14:27:54,225.92 MiB
2025-04-09 14:27:55,225.92 MiB
2025-04-09 14:27:56,225.92 MiB
2025-04-09 14:27:57,225.92 MiB
2025-04-09 14:27:58,225.92 MiB
2025-04-09 14:27:59,225.92 MiB
2025-04-09 14:28:00,225.92 MiB
2025-04-09 14:28:01,65.17 MiB
2025-04-09 14:28:02,65.17 MiB
2025-04-09 14:28:03,65.17 MiB
2025-04-09 14:28:04,65.17 MiB
2025-04-09 14:28:05,65.17 MiB
2025-04-09 14:28:06,65.17 MiB
2025-04-09 14:28:07,65.17 MiB
2025-04-09 14:28:08,65.17 MiB
2025-04-09 14:28:09,65.17 MiB
2025-04-09 14:28:10,65.17 MiB
2025-04-09 14:28:11,105.17 MiB
2025-04-09 14:28:12,105.17 MiB
2025-04-09 14:28:13,105.17 MiB
2025-04-09 14:28:14,105.17 MiB
2025-04-09 14:28:15,105.17 MiB
2025-04-09 14:28:16,105.17 MiB
2025-04-09 14:28:17,105.17 MiB
2025-04-09 14:28:18,105.17 MiB
2025-04-09 14:28:19,105.17 MiB
2025-04-09 14:28:20,105.17 MiB
2025-04-09 14:28:21,125.17 MiB
2025-04-09 14:28:22,125.17 MiB
2025-04-09 14:28:23,125.17 MiB
2025-04-09 14:28:24,125.17 MiB
2025-04-09 14:28:25,125.17 MiB
2025-04-09 14:28:26,125.17 MiB
2025-04-09 14:28:27,125.17 MiB
2025-04-09 14:28:28,125.17 MiB
2025-04-09 14:28:29,125.17 MiB
2025-04-09 14:28:30,125.17 MiB
2025-04-09 14:28:31,145.17 MiB
2025-04-09 14:28:32,145.17 MiB
2025-04-09 14:28:33,145.17 MiB
2025-04-09 14:28:34,145.17 MiB
2025-04-09 14:28:35,145.17 MiB
2025-04-09 14:28:36,145.17 MiB
2025-04-09 14:28:37,145.17 MiB
2025-04-09 14:28:38,145.17 MiB
2025-04-09 14:28:39,145.17 MiB
2025-04-09 14:28:40,145.17 MiB
2025-04-09 14:28:41,161.17 MiB
2025-04-09 14:28:42,161.17 MiB
2025-04-09 14:28:43,161.17 MiB
2025-04-09 14:28:44,161.17 MiB
2025-04-09 14:28:45,161.17 MiB
2025-04-09 14:28:46,161.17 MiB
2025-04-09 14:28:47,161.17 MiB
2025-04-09 14:28:48,161.17 MiB
2025-04-09 14:28:49,161.17 MiB
2025-04-09 14:28:50,161.17 MiB
2025-04-09 14:28:51,181.17 MiB
2025-04-09 14:28:52,181.17 MiB
2025-04-09 14:28:53,181.17 MiB
2025-04-09 14:28:54,181.17 MiB
2025-04-09 14:28:55,181.17 MiB
2025-04-09 14:28:56,181.17 MiB
2025-04-09 14:28:57,181.17 MiB
2025-04-09 14:28:58,181.17 MiB
2025-04-09 14:28:59,181.17 MiB
2025-04-09 14:29:00,181.17 MiB
2025-04-09 14:29:01,197.17 MiB
2025-04-09 14:29:02,197.17 MiB
2025-04-09 14:29:03,197.17 MiB
2025-04-09 14:29:04,197.17 MiB
2025-04-09 14:29:05,197.17 MiB
2025-04-09 14:29:06,197.17 MiB
2025-04-09 14:29:07,197.17 MiB
2025-04-09 14:29:08,197.17 MiB
2025-04-09 14:29:09,197.17 MiB
2025-04-09 14:29:10,197.17 MiB
2025-04-09 14:29:11,217.17 MiB
2025-04-09 14:29:12,217.17 MiB
2025-04-09 14:29:13,217.17 MiB
2025-04-09 14:29:14,217.17 MiB
2025-04-09 14:29:15,217.17 MiB
2025-04-09 14:29:16,217.17 MiB
2025-04-09 14:29:17,217.17 MiB
2025-04-09 14:29:18,217.17 MiB
2025-04-09 14:29:19,217.17 MiB
2025-04-09 14:29:20,217.17 MiB
2025-04-09 14:29:21,237.17 MiB
2025-04-09 14:29:22,237.17 MiB
2025-04-09 14:29:23,237.17 MiB
2025-04-09 14:29:24,237.17 MiB
2025-04-09 14:29:25,237.17 MiB
2025-04-09 14:29:26,237.17 MiB
2025-04-09 14:29:27,237.17 MiB
2025-04-09 14:29:28,237.17 MiB
2025-04-09 14:29:29,237.17 MiB
2025-04-09 14:29:30,237.17 MiB
2025-04-09 14:29:31,253.17 MiB
2025-04-09 14:29:32,253.17 MiB
2025-04-09 14:29:33,253.17 MiB
2025-04-09 14:29:34,253.17 MiB
2025-04-09 14:29:35,253.17 MiB
2025-04-09 14:29:36,253.17 MiB
2025-04-09 14:29:37,253.17 MiB
2025-04-09 14:29:38,253.17 MiB
2025-04-09 14:29:39,253.17 MiB
2025-04-09 14:29:40,253.17 MiB
2025-04-09 14:29:41,78.05 MiB
2025-04-09 14:29:42,78.05 MiB
