"Time","keycloak-metrics-https/keycloak:9000 "
2025-04-09 14:15:31,226.22 MiB
2025-04-09 14:15:32,226.22 MiB
2025-04-09 14:15:33,226.22 MiB
2025-04-09 14:15:34,226.22 MiB
2025-04-09 14:15:35,226.22 MiB
2025-04-09 14:15:36,226.22 MiB
2025-04-09 14:15:37,226.22 MiB
2025-04-09 14:15:38,226.22 MiB
2025-04-09 14:15:39,226.22 MiB
2025-04-09 14:15:40,226.22 MiB
2025-04-09 14:15:41,79.66 MiB
2025-04-09 14:15:42,79.66 MiB
2025-04-09 14:15:43,79.66 MiB
2025-04-09 14:15:44,79.66 MiB
2025-04-09 14:15:45,79.66 MiB
2025-04-09 14:15:46,79.66 MiB
2025-04-09 14:15:47,79.66 MiB
2025-04-09 14:15:48,79.66 MiB
2025-04-09 14:15:49,79.66 MiB
2025-04-09 14:15:50,79.66 MiB
2025-04-09 14:15:51,111.66 MiB
2025-04-09 14:15:52,111.66 MiB
2025-04-09 14:15:53,111.66 MiB
2025-04-09 14:15:54,111.66 MiB
2025-04-09 14:15:55,111.66 MiB
2025-04-09 14:15:56,111.66 MiB
2025-04-09 14:15:57,111.66 MiB
2025-04-09 14:15:58,111.66 MiB
2025-04-09 14:15:59,111.66 MiB
2025-04-09 14:16:00,111.66 MiB
2025-04-09 14:16:01,131.66 MiB
2025-04-09 14:16:02,131.66 MiB
2025-04-09 14:16:03,131.66 MiB
2025-04-09 14:16:04,131.66 MiB
2025-04-09 14:16:05,131.66 MiB
2025-04-09 14:16:06,131.66 MiB
2025-04-09 14:16:07,131.66 MiB
2025-04-09 14:16:08,131.66 MiB
2025-04-09 14:16:09,131.66 MiB
2025-04-09 14:16:10,131.66 MiB
2025-04-09 14:16:11,183.66 MiB
2025-04-09 14:16:12,183.66 MiB
2025-04-09 14:16:13,183.66 MiB
2025-04-09 14:16:14,183.66 MiB
2025-04-09 14:16:15,183.66 MiB
2025-04-09 14:16:16,183.66 MiB
2025-04-09 14:16:17,183.66 MiB
2025-04-09 14:16:18,183.66 MiB
2025-04-09 14:16:19,183.66 MiB
2025-04-09 14:16:20,183.66 MiB
2025-04-09 14:16:21,199.66 MiB
2025-04-09 14:16:22,199.66 MiB
2025-04-09 14:16:23,199.66 MiB
2025-04-09 14:16:24,199.66 MiB
2025-04-09 14:16:25,199.66 MiB
2025-04-09 14:16:26,199.66 MiB
2025-04-09 14:16:27,199.66 MiB
2025-04-09 14:16:28,199.66 MiB
2025-04-09 14:16:29,199.66 MiB
2025-04-09 14:16:30,199.66 MiB
2025-04-09 14:16:31,219.66 MiB
2025-04-09 14:16:32,219.66 MiB
2025-04-09 14:16:33,219.66 MiB
2025-04-09 14:16:34,219.66 MiB
2025-04-09 14:16:35,219.66 MiB
2025-04-09 14:16:36,219.66 MiB
2025-04-09 14:16:37,219.66 MiB
2025-04-09 14:16:38,219.66 MiB
2025-04-09 14:16:39,219.66 MiB
2025-04-09 14:16:40,219.66 MiB
2025-04-09 14:16:41,75.46 MiB
2025-04-09 14:16:42,75.46 MiB
2025-04-09 14:16:43,75.46 MiB
2025-04-09 14:16:44,75.46 MiB
2025-04-09 14:16:45,75.46 MiB
2025-04-09 14:16:46,75.46 MiB
2025-04-09 14:16:47,75.46 MiB
2025-04-09 14:16:48,75.46 MiB
2025-04-09 14:16:49,75.46 MiB
2025-04-09 14:16:50,75.46 MiB
2025-04-09 14:16:51,91.46 MiB
2025-04-09 14:16:52,91.46 MiB
2025-04-09 14:16:53,91.46 MiB
2025-04-09 14:16:54,91.46 MiB
2025-04-09 14:16:55,91.46 MiB
2025-04-09 14:16:56,91.46 MiB
2025-04-09 14:16:57,91.46 MiB
2025-04-09 14:16:58,91.46 MiB
2025-04-09 14:16:59,91.46 MiB
2025-04-09 14:17:00,91.46 MiB
2025-04-09 14:17:01,63.69 MiB
2025-04-09 14:17:02,63.69 MiB
2025-04-09 14:17:03,63.69 MiB
2025-04-09 14:17:04,63.69 MiB
2025-04-09 14:17:05,63.69 MiB
2025-04-09 14:17:06,63.69 MiB
2025-04-09 14:17:07,63.69 MiB
2025-04-09 14:17:08,63.69 MiB
2025-04-09 14:17:09,63.69 MiB
2025-04-09 14:17:10,63.69 MiB
2025-04-09 14:17:11,83.69 MiB
2025-04-09 14:17:12,83.69 MiB
2025-04-09 14:17:13,83.69 MiB
2025-04-09 14:17:14,83.69 MiB
2025-04-09 14:17:15,83.69 MiB
2025-04-09 14:17:16,83.69 MiB
2025-04-09 14:17:17,83.69 MiB
2025-04-09 14:17:18,83.69 MiB
2025-04-09 14:17:19,83.69 MiB
2025-04-09 14:17:20,83.69 MiB
2025-04-09 14:17:21,99.69 MiB
2025-04-09 14:17:22,99.69 MiB
2025-04-09 14:17:23,99.69 MiB
2025-04-09 14:17:24,99.69 MiB
2025-04-09 14:17:25,99.69 MiB
2025-04-09 14:17:26,99.69 MiB
2025-04-09 14:17:27,99.69 MiB
2025-04-09 14:17:28,99.69 MiB
2025-04-09 14:17:29,99.69 MiB
2025-04-09 14:17:30,99.69 MiB
2025-04-09 14:17:31,119.69 MiB
