"Time","keycloak-metrics-https/keycloak:9000 "
2025-04-09 11:05:24,34
2025-04-09 11:05:26,34
2025-04-09 11:05:28,34
2025-04-09 11:05:30,34
2025-04-09 11:05:32,34
2025-04-09 11:05:34,34
2025-04-09 11:05:36,34
2025-04-09 11:05:38,34
2025-04-09 11:05:40,34
2025-04-09 11:05:42,34
2025-04-09 11:05:44,34
2025-04-09 11:05:46,34
2025-04-09 11:05:48,34
2025-04-09 11:05:50,34
2025-04-09 11:05:52,34
2025-04-09 11:05:54,34
2025-04-09 11:05:56,34
2025-04-09 11:05:58,34
2025-04-09 11:06:00,34
2025-04-09 11:06:02,34
2025-04-09 11:06:04,34
2025-04-09 11:06:06,34
2025-04-09 11:06:08,34
2025-04-09 11:06:10,34
2025-04-09 11:06:12,34
2025-04-09 11:06:14,34
2025-04-09 11:06:16,34
2025-04-09 11:06:18,34
2025-04-09 11:06:20,34
2025-04-09 11:06:22,34
2025-04-09 11:06:24,34
2025-04-09 11:06:26,34
2025-04-09 11:06:28,34
2025-04-09 11:06:30,34
2025-04-09 11:06:32,34
2025-04-09 11:06:34,34
2025-04-09 11:06:36,34
2025-04-09 11:06:38,34
2025-04-09 11:06:40,34
2025-04-09 11:06:42,34
2025-04-09 11:06:44,34
2025-04-09 11:06:46,34
2025-04-09 11:06:48,34
2025-04-09 11:06:50,34
2025-04-09 11:06:52,34
2025-04-09 11:06:54,34
2025-04-09 11:06:56,34
2025-04-09 11:06:58,34
2025-04-09 11:07:00,34
2025-04-09 11:07:02,34
2025-04-09 11:07:04,34
2025-04-09 11:07:06,34
2025-04-09 11:07:08,34
2025-04-09 11:07:10,34
2025-04-09 11:07:12,34
2025-04-09 11:07:14,34
2025-04-09 11:07:16,34
2025-04-09 11:07:18,34
2025-04-09 11:07:20,34
2025-04-09 11:07:22,34
2025-04-09 11:07:24,34
