"Time","keycloak-metrics-https/keycloak:9000 name=G1 Concurrent GC"
2025-04-09 11:09:22,2
2025-04-09 11:09:23,2
2025-04-09 11:09:24,2
2025-04-09 11:09:25,2
2025-04-09 11:09:26,2
2025-04-09 11:09:27,2
2025-04-09 11:09:28,2
2025-04-09 11:09:29,2
2025-04-09 11:09:30,2
2025-04-09 11:09:31,2
2025-04-09 11:09:32,2
2025-04-09 11:09:33,2
2025-04-09 11:09:34,2
2025-04-09 11:09:35,2
2025-04-09 11:09:36,2
2025-04-09 11:09:37,2
2025-04-09 11:09:38,2
2025-04-09 11:09:39,2
2025-04-09 11:09:40,2
2025-04-09 11:09:41,2
2025-04-09 11:09:42,2
2025-04-09 11:09:43,2
2025-04-09 11:09:44,2
2025-04-09 11:09:45,2
2025-04-09 11:09:46,2
2025-04-09 11:09:47,2
2025-04-09 11:09:48,2
2025-04-09 11:09:49,2
2025-04-09 11:09:50,2
2025-04-09 11:09:51,2
2025-04-09 11:09:52,2
2025-04-09 11:09:53,2
2025-04-09 11:09:54,2
2025-04-09 11:09:55,2
2025-04-09 11:09:56,2
2025-04-09 11:09:57,2
2025-04-09 11:09:58,2
2025-04-09 11:09:59,2
2025-04-09 11:10:00,2
2025-04-09 11:10:01,2
2025-04-09 11:10:02,2
2025-04-09 11:10:03,2
2025-04-09 11:10:04,2
2025-04-09 11:10:05,2
2025-04-09 11:10:06,2
2025-04-09 11:10:07,2
2025-04-09 11:10:08,2
2025-04-09 11:10:09,2
2025-04-09 11:10:10,2
2025-04-09 11:10:11,2
2025-04-09 11:10:12,2
2025-04-09 11:10:13,2
2025-04-09 11:10:14,2
2025-04-09 11:10:15,2
2025-04-09 11:10:16,2
2025-04-09 11:10:17,2
2025-04-09 11:10:18,2
2025-04-09 11:10:19,2
2025-04-09 11:10:20,2
2025-04-09 11:10:21,2
2025-04-09 11:10:22,2
2025-04-09 11:10:23,2
2025-04-09 11:10:24,2
2025-04-09 11:10:25,2
2025-04-09 11:10:26,2
2025-04-09 11:10:27,2
2025-04-09 11:10:28,2
2025-04-09 11:10:29,2
2025-04-09 11:10:30,2
2025-04-09 11:10:31,2
2025-04-09 11:10:32,2
2025-04-09 11:10:33,2
2025-04-09 11:10:34,2
2025-04-09 11:10:35,2
2025-04-09 11:10:36,2
2025-04-09 11:10:37,2
2025-04-09 11:10:38,2
2025-04-09 11:10:39,2
2025-04-09 11:10:40,2
2025-04-09 11:10:41,2
2025-04-09 11:10:42,2
2025-04-09 11:10:43,2
2025-04-09 11:10:44,2
2025-04-09 11:10:45,2
2025-04-09 11:10:46,2
2025-04-09 11:10:47,2
2025-04-09 11:10:48,2
2025-04-09 11:10:49,2
2025-04-09 11:10:50,2
2025-04-09 11:10:51,2
2025-04-09 11:10:52,2
2025-04-09 11:10:53,2
2025-04-09 11:10:54,2
2025-04-09 11:10:55,2
2025-04-09 11:10:56,2
2025-04-09 11:10:57,2
2025-04-09 11:10:58,2
2025-04-09 11:10:59,2
2025-04-09 11:11:00,2
2025-04-09 11:11:01,2
2025-04-09 11:11:02,2
2025-04-09 11:11:03,2
2025-04-09 11:11:04,2
2025-04-09 11:11:05,2
2025-04-09 11:11:06,2
2025-04-09 11:11:07,2
2025-04-09 11:11:08,2
2025-04-09 11:11:09,2
2025-04-09 11:11:10,2
2025-04-09 11:11:11,2
2025-04-09 11:11:12,2
2025-04-09 11:11:13,2
2025-04-09 11:11:14,2
2025-04-09 11:11:15,2
2025-04-09 11:11:16,2
2025-04-09 11:11:17,2
2025-04-09 11:11:18,2
2025-04-09 11:11:19,2
2025-04-09 11:11:20,2
2025-04-09 11:11:21,2
2025-04-09 11:11:22,2
