"Time","keycloak-metrics-https/keycloak:9000 name=G1 Concurrent GC"
2025-04-09 12:26:52,2
2025-04-09 12:26:53,2
2025-04-09 12:26:54,2
2025-04-09 12:26:55,2
2025-04-09 12:26:56,2
2025-04-09 12:26:57,2
2025-04-09 12:26:58,2
2025-04-09 12:26:59,2
2025-04-09 12:27:00,2
2025-04-09 12:27:01,2
2025-04-09 12:27:02,2
2025-04-09 12:27:03,2
2025-04-09 12:27:04,2
2025-04-09 12:27:05,2
2025-04-09 12:27:06,2
2025-04-09 12:27:07,2
2025-04-09 12:27:08,2
2025-04-09 12:27:09,4
2025-04-09 12:27:10,4
2025-04-09 12:27:11,4
2025-04-09 12:27:12,4
2025-04-09 12:27:13,4
2025-04-09 12:27:14,4
2025-04-09 12:27:15,4
2025-04-09 12:27:16,4
2025-04-09 12:27:17,4
2025-04-09 12:27:18,4
2025-04-09 12:27:19,4
2025-04-09 12:27:20,4
2025-04-09 12:27:21,4
2025-04-09 12:27:22,4
2025-04-09 12:27:23,4
2025-04-09 12:27:24,4
2025-04-09 12:27:25,4
2025-04-09 12:27:26,4
2025-04-09 12:27:27,4
2025-04-09 12:27:28,4
2025-04-09 12:27:29,4
2025-04-09 12:27:30,4
2025-04-09 12:27:31,4
2025-04-09 12:27:32,4
2025-04-09 12:27:33,4
2025-04-09 12:27:34,4
2025-04-09 12:27:35,4
2025-04-09 12:27:36,4
2025-04-09 12:27:37,4
2025-04-09 12:27:38,4
2025-04-09 12:27:39,4
2025-04-09 12:27:40,4
2025-04-09 12:27:41,4
2025-04-09 12:27:42,4
2025-04-09 12:27:43,4
2025-04-09 12:27:44,4
2025-04-09 12:27:45,4
2025-04-09 12:27:46,4
2025-04-09 12:27:47,4
2025-04-09 12:27:48,4
2025-04-09 12:27:49,4
2025-04-09 12:27:50,4
2025-04-09 12:27:51,4
2025-04-09 12:27:52,4
2025-04-09 12:27:53,4
2025-04-09 12:27:54,4
2025-04-09 12:27:55,4
2025-04-09 12:27:56,4
2025-04-09 12:27:57,4
2025-04-09 12:27:58,4
2025-04-09 12:27:59,4
2025-04-09 12:28:00,4
2025-04-09 12:28:01,4
2025-04-09 12:28:02,4
2025-04-09 12:28:03,4
2025-04-09 12:28:04,4
2025-04-09 12:28:05,4
2025-04-09 12:28:06,4
2025-04-09 12:28:07,4
2025-04-09 12:28:08,4
2025-04-09 12:28:09,4
2025-04-09 12:28:10,4
2025-04-09 12:28:11,4
2025-04-09 12:28:12,4
2025-04-09 12:28:13,4
2025-04-09 12:28:14,4
2025-04-09 12:28:15,4
2025-04-09 12:28:16,4
2025-04-09 12:28:17,4
2025-04-09 12:28:18,4
2025-04-09 12:28:19,4
2025-04-09 12:28:20,4
2025-04-09 12:28:21,4
2025-04-09 12:28:22,4
2025-04-09 12:28:23,4
2025-04-09 12:28:24,4
2025-04-09 12:28:25,4
2025-04-09 12:28:26,4
2025-04-09 12:28:27,4
2025-04-09 12:28:28,4
2025-04-09 12:28:29,4
2025-04-09 12:28:30,4
2025-04-09 12:28:31,4
2025-04-09 12:28:32,4
2025-04-09 12:28:33,4
2025-04-09 12:28:34,4
2025-04-09 12:28:35,4
2025-04-09 12:28:36,4
2025-04-09 12:28:37,4
2025-04-09 12:28:38,4
2025-04-09 12:28:39,4
2025-04-09 12:28:40,4
2025-04-09 12:28:41,4
2025-04-09 12:28:42,4
2025-04-09 12:28:43,4
2025-04-09 12:28:44,4
2025-04-09 12:28:45,4
2025-04-09 12:28:46,4
2025-04-09 12:28:47,4
2025-04-09 12:28:48,4
2025-04-09 12:28:49,4
2025-04-09 12:28:50,4
2025-04-09 12:28:51,4
2025-04-09 12:28:52,4
