"Time","keycloak-metrics-https/keycloak:9000 "
2025-04-09 12:18:06,91.12 MiB
2025-04-09 12:18:07,91.12 MiB
2025-04-09 12:18:08,91.12 MiB
2025-04-09 12:18:09,107.12 MiB
2025-04-09 12:18:10,107.12 MiB
2025-04-09 12:18:11,107.12 MiB
2025-04-09 12:18:12,107.12 MiB
2025-04-09 12:18:13,107.12 MiB
2025-04-09 12:18:14,107.12 MiB
2025-04-09 12:18:15,107.12 MiB
2025-04-09 12:18:16,107.12 MiB
2025-04-09 12:18:17,107.12 MiB
2025-04-09 12:18:18,107.12 MiB
2025-04-09 12:18:19,127.12 MiB
2025-04-09 12:18:20,127.12 MiB
2025-04-09 12:18:21,127.12 MiB
2025-04-09 12:18:22,127.12 MiB
2025-04-09 12:18:23,127.12 MiB
2025-04-09 12:18:24,127.12 MiB
2025-04-09 12:18:25,127.12 MiB
2025-04-09 12:18:26,127.12 MiB
2025-04-09 12:18:27,127.12 MiB
2025-04-09 12:18:28,127.12 MiB
2025-04-09 12:18:29,83.52 MiB
2025-04-09 12:18:30,83.52 MiB
2025-04-09 12:18:31,83.52 MiB
2025-04-09 12:18:32,83.52 MiB
2025-04-09 12:18:33,83.52 MiB
2025-04-09 12:18:34,83.52 MiB
2025-04-09 12:18:35,83.52 MiB
2025-04-09 12:18:36,83.52 MiB
2025-04-09 12:18:37,83.52 MiB
2025-04-09 12:18:38,83.52 MiB
2025-04-09 12:18:39,95.52 MiB
2025-04-09 12:18:40,95.52 MiB
2025-04-09 12:18:41,95.52 MiB
2025-04-09 12:18:42,95.52 MiB
2025-04-09 12:18:43,95.52 MiB
2025-04-09 12:18:44,95.52 MiB
2025-04-09 12:18:45,95.52 MiB
2025-04-09 12:18:46,95.52 MiB
2025-04-09 12:18:47,95.52 MiB
2025-04-09 12:18:48,95.52 MiB
2025-04-09 12:18:49,107.52 MiB
2025-04-09 12:18:50,107.52 MiB
2025-04-09 12:18:51,107.52 MiB
2025-04-09 12:18:52,107.52 MiB
2025-04-09 12:18:53,107.52 MiB
2025-04-09 12:18:54,107.52 MiB
2025-04-09 12:18:55,107.52 MiB
2025-04-09 12:18:56,107.52 MiB
2025-04-09 12:18:57,107.52 MiB
2025-04-09 12:18:58,107.52 MiB
2025-04-09 12:18:59,123.52 MiB
2025-04-09 12:19:00,123.52 MiB
2025-04-09 12:19:01,123.52 MiB
2025-04-09 12:19:02,123.52 MiB
2025-04-09 12:19:03,123.52 MiB
2025-04-09 12:19:04,123.52 MiB
2025-04-09 12:19:05,123.52 MiB
2025-04-09 12:19:06,123.52 MiB
2025-04-09 12:19:07,123.52 MiB
2025-04-09 12:19:08,123.52 MiB
2025-04-09 12:19:09,135.52 MiB
2025-04-09 12:19:10,135.52 MiB
2025-04-09 12:19:11,135.52 MiB
2025-04-09 12:19:12,135.52 MiB
2025-04-09 12:19:13,135.52 MiB
2025-04-09 12:19:14,135.52 MiB
2025-04-09 12:19:15,135.52 MiB
2025-04-09 12:19:16,135.52 MiB
2025-04-09 12:19:17,135.52 MiB
2025-04-09 12:19:18,135.52 MiB
2025-04-09 12:19:19,151.52 MiB
2025-04-09 12:19:20,151.52 MiB
2025-04-09 12:19:21,151.52 MiB
2025-04-09 12:19:22,151.52 MiB
2025-04-09 12:19:23,151.52 MiB
2025-04-09 12:19:24,151.52 MiB
2025-04-09 12:19:25,151.52 MiB
2025-04-09 12:19:26,151.52 MiB
2025-04-09 12:19:27,151.52 MiB
2025-04-09 12:19:28,151.52 MiB
2025-04-09 12:19:29,163.52 MiB
2025-04-09 12:19:30,163.52 MiB
2025-04-09 12:19:31,163.52 MiB
2025-04-09 12:19:32,163.52 MiB
2025-04-09 12:19:33,163.52 MiB
2025-04-09 12:19:34,163.52 MiB
2025-04-09 12:19:35,163.52 MiB
2025-04-09 12:19:36,163.52 MiB
2025-04-09 12:19:37,163.52 MiB
2025-04-09 12:19:38,163.52 MiB
2025-04-09 12:19:39,80.78 MiB
2025-04-09 12:19:40,80.78 MiB
2025-04-09 12:19:41,80.78 MiB
2025-04-09 12:19:42,80.78 MiB
2025-04-09 12:19:43,80.78 MiB
2025-04-09 12:19:44,80.78 MiB
2025-04-09 12:19:45,80.78 MiB
2025-04-09 12:19:46,80.78 MiB
2025-04-09 12:19:47,80.78 MiB
2025-04-09 12:19:48,80.78 MiB
2025-04-09 12:19:49,92.78 MiB
2025-04-09 12:19:50,92.78 MiB
2025-04-09 12:19:51,92.78 MiB
2025-04-09 12:19:52,92.78 MiB
2025-04-09 12:19:53,92.78 MiB
2025-04-09 12:19:54,92.78 MiB
2025-04-09 12:19:55,92.78 MiB
2025-04-09 12:19:56,92.78 MiB
2025-04-09 12:19:57,92.78 MiB
2025-04-09 12:19:58,92.78 MiB
2025-04-09 12:19:59,108.78 MiB
2025-04-09 12:20:00,108.78 MiB
2025-04-09 12:20:01,108.78 MiB
2025-04-09 12:20:02,108.78 MiB
2025-04-09 12:20:03,108.78 MiB
2025-04-09 12:20:04,108.78 MiB
2025-04-09 12:20:05,108.78 MiB
2025-04-09 12:20:06,108.78 MiB
