"Time","keycloak-metrics-https/keycloak:9000 "
2025-04-09 12:26:52,153.02 MiB
2025-04-09 12:26:53,153.02 MiB
2025-04-09 12:26:54,153.02 MiB
2025-04-09 12:26:55,153.02 MiB
2025-04-09 12:26:56,153.02 MiB
2025-04-09 12:26:57,153.02 MiB
2025-04-09 12:26:58,153.02 MiB
2025-04-09 12:26:59,76.40 MiB
2025-04-09 12:27:00,76.40 MiB
2025-04-09 12:27:01,76.40 MiB
2025-04-09 12:27:02,76.40 MiB
2025-04-09 12:27:03,76.40 MiB
2025-04-09 12:27:04,76.40 MiB
2025-04-09 12:27:05,76.40 MiB
2025-04-09 12:27:06,76.40 MiB
2025-04-09 12:27:07,76.40 MiB
2025-04-09 12:27:08,76.40 MiB
2025-04-09 12:27:09,76.99 MiB
2025-04-09 12:27:10,76.99 MiB
2025-04-09 12:27:11,76.99 MiB
2025-04-09 12:27:12,76.99 MiB
2025-04-09 12:27:13,76.99 MiB
2025-04-09 12:27:14,76.99 MiB
2025-04-09 12:27:15,76.99 MiB
2025-04-09 12:27:16,76.99 MiB
2025-04-09 12:27:17,76.99 MiB
2025-04-09 12:27:18,76.99 MiB
2025-04-09 12:27:19,112.99 MiB
2025-04-09 12:27:20,112.99 MiB
2025-04-09 12:27:21,112.99 MiB
2025-04-09 12:27:22,112.99 MiB
2025-04-09 12:27:23,112.99 MiB
2025-04-09 12:27:24,112.99 MiB
2025-04-09 12:27:25,112.99 MiB
2025-04-09 12:27:26,112.99 MiB
2025-04-09 12:27:27,112.99 MiB
2025-04-09 12:27:28,112.99 MiB
2025-04-09 12:27:29,128.99 MiB
2025-04-09 12:27:30,128.99 MiB
2025-04-09 12:27:31,128.99 MiB
2025-04-09 12:27:32,128.99 MiB
2025-04-09 12:27:33,128.99 MiB
2025-04-09 12:27:34,128.99 MiB
2025-04-09 12:27:35,128.99 MiB
2025-04-09 12:27:36,128.99 MiB
2025-04-09 12:27:37,128.99 MiB
2025-04-09 12:27:38,128.99 MiB
2025-04-09 12:27:39,140.99 MiB
2025-04-09 12:27:40,140.99 MiB
2025-04-09 12:27:41,140.99 MiB
2025-04-09 12:27:42,140.99 MiB
2025-04-09 12:27:43,140.99 MiB
2025-04-09 12:27:44,140.99 MiB
2025-04-09 12:27:45,140.99 MiB
2025-04-09 12:27:46,140.99 MiB
2025-04-09 12:27:47,140.99 MiB
2025-04-09 12:27:48,140.99 MiB
2025-04-09 12:27:49,156.99 MiB
2025-04-09 12:27:50,156.99 MiB
2025-04-09 12:27:51,156.99 MiB
2025-04-09 12:27:52,156.99 MiB
2025-04-09 12:27:53,156.99 MiB
2025-04-09 12:27:54,156.99 MiB
2025-04-09 12:27:55,156.99 MiB
2025-04-09 12:27:56,156.99 MiB
2025-04-09 12:27:57,156.99 MiB
2025-04-09 12:27:58,156.99 MiB
2025-04-09 12:27:59,77.87 MiB
2025-04-09 12:28:00,77.87 MiB
2025-04-09 12:28:01,77.87 MiB
2025-04-09 12:28:02,77.87 MiB
2025-04-09 12:28:03,77.87 MiB
2025-04-09 12:28:04,77.87 MiB
2025-04-09 12:28:05,77.87 MiB
2025-04-09 12:28:06,77.87 MiB
2025-04-09 12:28:07,77.87 MiB
2025-04-09 12:28:08,77.87 MiB
2025-04-09 12:28:09,89.87 MiB
2025-04-09 12:28:10,89.87 MiB
2025-04-09 12:28:11,89.87 MiB
2025-04-09 12:28:12,89.87 MiB
2025-04-09 12:28:13,89.87 MiB
2025-04-09 12:28:14,89.87 MiB
2025-04-09 12:28:15,89.87 MiB
2025-04-09 12:28:16,89.87 MiB
2025-04-09 12:28:17,89.87 MiB
2025-04-09 12:28:18,89.87 MiB
2025-04-09 12:28:19,101.87 MiB
2025-04-09 12:28:20,101.87 MiB
2025-04-09 12:28:21,101.87 MiB
2025-04-09 12:28:22,101.87 MiB
2025-04-09 12:28:23,101.87 MiB
2025-04-09 12:28:24,101.87 MiB
2025-04-09 12:28:25,101.87 MiB
2025-04-09 12:28:26,101.87 MiB
2025-04-09 12:28:27,101.87 MiB
2025-04-09 12:28:28,101.87 MiB
2025-04-09 12:28:29,117.87 MiB
2025-04-09 12:28:30,117.87 MiB
2025-04-09 12:28:31,117.87 MiB
2025-04-09 12:28:32,117.87 MiB
2025-04-09 12:28:33,117.87 MiB
2025-04-09 12:28:34,117.87 MiB
2025-04-09 12:28:35,117.87 MiB
2025-04-09 12:28:36,117.87 MiB
2025-04-09 12:28:37,117.87 MiB
2025-04-09 12:28:38,117.87 MiB
2025-04-09 12:28:39,129.87 MiB
2025-04-09 12:28:40,129.87 MiB
2025-04-09 12:28:41,129.87 MiB
2025-04-09 12:28:42,129.87 MiB
2025-04-09 12:28:43,129.87 MiB
2025-04-09 12:28:44,129.87 MiB
2025-04-09 12:28:45,129.87 MiB
2025-04-09 12:28:46,129.87 MiB
2025-04-09 12:28:47,129.87 MiB
2025-04-09 12:28:48,129.87 MiB
2025-04-09 12:28:49,141.87 MiB
2025-04-09 12:28:50,141.87 MiB
2025-04-09 12:28:51,141.87 MiB
2025-04-09 12:28:52,141.87 MiB
