"Time","keycloak-metrics-https/keycloak:9000 "
2025-04-09 12:36:25,81.73 MiB
2025-04-09 12:36:26,81.73 MiB
2025-04-09 12:36:27,81.73 MiB
2025-04-09 12:36:28,81.73 MiB
2025-04-09 12:36:29,93.73 MiB
2025-04-09 12:36:30,93.73 MiB
2025-04-09 12:36:31,93.73 MiB
2025-04-09 12:36:32,93.73 MiB
2025-04-09 12:36:33,93.73 MiB
2025-04-09 12:36:34,93.73 MiB
2025-04-09 12:36:35,93.73 MiB
2025-04-09 12:36:36,93.73 MiB
2025-04-09 12:36:37,93.73 MiB
2025-04-09 12:36:38,93.73 MiB
2025-04-09 12:36:39,113.73 MiB
2025-04-09 12:36:40,113.73 MiB
2025-04-09 12:36:41,113.73 MiB
2025-04-09 12:36:42,113.73 MiB
2025-04-09 12:36:43,113.73 MiB
2025-04-09 12:36:44,113.73 MiB
2025-04-09 12:36:45,113.73 MiB
2025-04-09 12:36:46,113.73 MiB
2025-04-09 12:36:47,113.73 MiB
2025-04-09 12:36:48,113.73 MiB
2025-04-09 12:36:49,165.73 MiB
2025-04-09 12:36:50,165.73 MiB
2025-04-09 12:36:51,165.73 MiB
2025-04-09 12:36:52,165.73 MiB
2025-04-09 12:36:53,165.73 MiB
2025-04-09 12:36:54,165.73 MiB
2025-04-09 12:36:55,165.73 MiB
2025-04-09 12:36:56,165.73 MiB
2025-04-09 12:36:57,165.73 MiB
2025-04-09 12:36:58,165.73 MiB
2025-04-09 12:36:59,74.17 MiB
2025-04-09 12:37:00,74.17 MiB
2025-04-09 12:37:01,74.17 MiB
2025-04-09 12:37:02,74.17 MiB
2025-04-09 12:37:03,74.17 MiB
2025-04-09 12:37:04,74.17 MiB
2025-04-09 12:37:05,74.17 MiB
2025-04-09 12:37:06,74.17 MiB
2025-04-09 12:37:07,74.17 MiB
2025-04-09 12:37:08,74.17 MiB
2025-04-09 12:37:09,86.17 MiB
2025-04-09 12:37:10,86.17 MiB
2025-04-09 12:37:11,86.17 MiB
2025-04-09 12:37:12,86.17 MiB
2025-04-09 12:37:13,86.17 MiB
2025-04-09 12:37:14,86.17 MiB
2025-04-09 12:37:15,86.17 MiB
2025-04-09 12:37:16,86.17 MiB
2025-04-09 12:37:17,86.17 MiB
2025-04-09 12:37:18,86.17 MiB
2025-04-09 12:37:19,98.17 MiB
2025-04-09 12:37:20,98.17 MiB
2025-04-09 12:37:21,98.17 MiB
2025-04-09 12:37:22,98.17 MiB
2025-04-09 12:37:23,98.17 MiB
2025-04-09 12:37:24,98.17 MiB
2025-04-09 12:37:25,98.17 MiB
2025-04-09 12:37:26,98.17 MiB
2025-04-09 12:37:27,98.17 MiB
2025-04-09 12:37:28,98.17 MiB
2025-04-09 12:37:29,114.17 MiB
2025-04-09 12:37:30,114.17 MiB
2025-04-09 12:37:31,114.17 MiB
2025-04-09 12:37:32,114.17 MiB
2025-04-09 12:37:33,114.17 MiB
2025-04-09 12:37:34,114.17 MiB
2025-04-09 12:37:35,114.17 MiB
2025-04-09 12:37:36,114.17 MiB
2025-04-09 12:37:37,114.17 MiB
2025-04-09 12:37:38,114.17 MiB
2025-04-09 12:37:39,130.17 MiB
2025-04-09 12:37:40,130.17 MiB
2025-04-09 12:37:41,130.17 MiB
2025-04-09 12:37:42,130.17 MiB
2025-04-09 12:37:43,130.17 MiB
2025-04-09 12:37:44,130.17 MiB
2025-04-09 12:37:45,130.17 MiB
2025-04-09 12:37:46,130.17 MiB
2025-04-09 12:37:47,130.17 MiB
2025-04-09 12:37:48,130.17 MiB
2025-04-09 12:37:49,142.17 MiB
2025-04-09 12:37:50,142.17 MiB
2025-04-09 12:37:51,142.17 MiB
2025-04-09 12:37:52,142.17 MiB
2025-04-09 12:37:53,142.17 MiB
2025-04-09 12:37:54,142.17 MiB
2025-04-09 12:37:55,142.17 MiB
2025-04-09 12:37:56,142.17 MiB
2025-04-09 12:37:57,142.17 MiB
2025-04-09 12:37:58,142.17 MiB
2025-04-09 12:37:59,154.17 MiB
2025-04-09 12:38:00,154.17 MiB
2025-04-09 12:38:01,154.17 MiB
2025-04-09 12:38:02,154.17 MiB
2025-04-09 12:38:03,154.17 MiB
2025-04-09 12:38:04,154.17 MiB
2025-04-09 12:38:05,154.17 MiB
2025-04-09 12:38:06,154.17 MiB
2025-04-09 12:38:07,154.17 MiB
2025-04-09 12:38:08,154.17 MiB
2025-04-09 12:38:09,170.17 MiB
2025-04-09 12:38:10,170.17 MiB
2025-04-09 12:38:11,170.17 MiB
2025-04-09 12:38:12,170.17 MiB
2025-04-09 12:38:13,170.17 MiB
2025-04-09 12:38:14,170.17 MiB
2025-04-09 12:38:15,170.17 MiB
2025-04-09 12:38:16,170.17 MiB
2025-04-09 12:38:17,170.17 MiB
2025-04-09 12:38:18,170.17 MiB
2025-04-09 12:38:19,77.99 MiB
2025-04-09 12:38:20,77.99 MiB
2025-04-09 12:38:21,77.99 MiB
2025-04-09 12:38:22,77.99 MiB
2025-04-09 12:38:23,77.99 MiB
2025-04-09 12:38:24,77.99 MiB
2025-04-09 12:38:25,77.99 MiB
